曲线名称,日期,3月,6月,1年,3年,5年,7年,10年,30年
中债国债收益率曲线,2020-02-04,1.7475,1.763,2.1,2.4056,2.6399,2.7906,2.8551,3.4488
中债国债收益率曲线,2020-02-05,1.7475,1.7667,2.0773,2.4264,2.6348,2.7893,2.844,3.446
中债国债收益率曲线,2020-02-06,1.7496,1.7667,2.0593,2.4327,2.6353,2.7844,2.8392,3.4437
中债国债收益率曲线,2020-02-07,1.6786,1.68,2.0525,2.4039,2.5917,2.7666,2.8024,3.4059
中债国债收益率曲线,2020-02-10,1.6272,1.6641,2.0,2.3851,2.5642,2.756,2.7872,3.3993
中债国债收益率曲线,2020-02-11,1.6263,1.684,1.99,2.4153,2.5956,2.7803,2.834,3.4363
中债国债收益率曲线,2020-02-12,1.657,1.7046,1.99,2.4223,2.6067,2.7887,2.8333,3.4389
中债国债收益率曲线,2020-02-13,1.6325,1.7366,1.981,2.4218,2.6076,2.7867,2.8201,3.432
中债国债收益率曲线,2020-02-14,1.6712,1.7977,1.9613,2.4225,2.6229,2.7977,2.8631,3.4659
中债国债收益率曲线,2020-02-17,1.705,1.815,1.9358,2.4389,2.6545,2.8151,2.8928,3.4998
中债国债收益率曲线,2020-02-18,1.744,1.8151,1.9358,2.4303,2.6473,2.8199,2.8664,3.4748
中债国债收益率曲线,2020-02-19,1.7535,1.7999,1.9365,2.4395,2.6545,2.8468,2.8776,3.4748
中债国债收益率曲线,2020-02-20,1.7741,1.8093,1.9459,2.4268,2.6834,2.8483,2.8857,3.4999
中债国债收益率曲线,2020-02-21,1.7744,1.8031,1.9309,2.4068,2.6634,2.8332,2.847,3.46
中债国债收益率曲线,2020-02-24,1.7795,1.8174,1.8853,2.3948,2.6311,2.8199,2.812,3.4309
中债国债收益率曲线,2020-02-25,1.7715,1.8401,1.8951,2.3835,2.6384,2.82,2.822,3.4421
中债国债收益率曲线,2020-02-26,1.7556,1.8488,1.8863,2.3835,2.6283,2.8196,2.7973,3.4271
中债国债收益率曲线,2020-02-27,1.751,1.8922,1.9051,2.3821,2.5953,2.8044,2.7702,3.404
中债国债收益率曲线,2020-02-28,1.7865,1.8894,1.9291,2.3831,2.5266,2.7477,2.7376,3.3726
中债国债收益率曲线,2020-03-02,1.7825,1.8871,1.9251,2.3951,2.5372,2.7548,2.7428,3.3836
中债国债收益率曲线,2020-03-03,1.7831,1.8671,1.958,2.4051,2.5315,2.7646,2.7478,3.3846
中债国债收益率曲线,2020-03-04,1.7534,1.8522,1.943,2.295,2.4843,2.6946,2.673,3.3425
中债国债收益率曲线,2020-03-05,1.7547,1.8476,1.943,2.2815,2.4918,2.6898,2.6829,3.353
中债国债收益率曲线,2020-03-06,1.6886,1.75,1.913,2.2265,2.4575,2.6231,2.628,3.3061
中债国债收益率曲线,2020-03-09,1.6523,1.6903,1.8806,2.1465,2.3606,2.5158,2.5205,3.1449
中债国债收益率曲线,2020-03-10,1.6661,1.6991,1.9068,2.187,2.4591,2.6102,2.613,3.2398
中债国债收益率曲线,2020-03-11,1.7001,1.7211,1.9154,2.2267,2.4539,2.6148,2.6079,3.2118
中债国债收益率曲线,2020-03-12,1.6994,1.7625,1.9166,2.2471,2.4769,2.6352,2.6379,3.2277
中债国债收益率曲线,2020-03-13,1.6705,1.7953,1.9234,2.2572,2.5381,2.695,2.6759,3.3002
中债国债收益率曲线,2020-03-16,1.6802,1.7573,1.8954,2.2511,2.5224,2.6871,2.6758,3.2832
中债国债收益率曲线,2020-03-17,1.627,1.7622,1.8954,2.2507,2.5508,2.7044,2.7135,3.34
中债国债收益率曲线,2020-03-18,1.6002,1.7673,1.9154,2.2612,2.5443,2.7063,2.7136,3.355
中债国债收益率曲线,2020-03-19,1.5704,1.7607,1.8853,2.251,2.5546,2.7236,2.7299,3.3701
中债国债收益率曲线,2020-03-20,1.5168,1.7049,1.8682,2.2429,2.5217,2.6999,2.6815,3.3301
中债国债收益率曲线,2020-03-23,1.516,1.6749,1.8482,2.2032,2.4672,2.6591,2.6315,3.2753
